date,predicted_close,actual_close
2024-01-02,14876.379,14765.9404296875
2024-01-03,14690.381,14592.2099609375
2024-01-04,14588.728,14510.2998046875
2024-01-05,14552.9795,14524.0703125
2024-01-08,14767.09,14843.76953125
2024-01-09,14782.696,14857.7099609375
2024-01-10,14945.693,14969.650390625
2024-01-11,15007.192,14970.1904296875
2024-01-12,15035.372,14972.759765625
2024-01-16,15007.659,14944.349609375
2024-01-17,14917.374,14855.6201171875
2024-01-18,15031.114,15055.650390625
2024-01-19,15210.55,15310.9697265625
2024-01-22,15283.683,15360.2900390625
2024-01-23,15405.596,15425.9404296875
2024-01-24,15476.046,15481.919921875
2024-01-25,15542.931,15510.5
2024-01-26,15460.142,15455.3603515625
2024-01-29,15587.7295,15628.0400390625
2024-01-30,15477.44,15509.900390625
2024-01-31,15259.011,15164.009765625
2024-02-01,15356.578,15361.6396484375
2024-02-02,15512.136,15628.9501953125
2024-02-05,15506.394,15597.6796875
2024-02-06,15579.928,15609.0
2024-02-07,15738.874,15756.6396484375
2024-02-08,15771.424,15793.7099609375
2024-02-09,15902.603,15990.66015625
2024-02-12,15891.981,15942.5498046875
2024-02-13,15710.658,15655.599609375
2024-02-14,15831.488,15859.150390625
2024-02-15,15877.545,15906.169921875
2024-02-16,15780.989,15775.650390625
2024-02-20,15693.48,15630.7802734375
2024-02-21,15619.653,15580.8701171875
2024-02-22,15944.788,16041.6201171875
2024-02-23,15943.27,15996.8203125
2024-02-26,15993.024,15976.25
2024-02-27,16046.684,16035.2998046875
2024-02-28,15974.386,15947.740234375
2024-02-29,16075.547,16091.919921875
2024-03-01,16192.42,16274.9404296875
2024-03-04,16190.085,16207.509765625
2024-03-05,16030.308,15939.58984375
2024-03-06,16087.609,16031.5400390625
2024-03-07,16245.274,16273.3798828125
2024-03-08,16111.538,16085.1103515625
2024-03-11,16106.099,16019.26953125
2024-03-12,16239.817,16265.6396484375
2024-03-13,16151.691,16177.76953125
2024-03-14,16158.886,16128.5302734375
2024-03-15,16045.873,15973.169921875
2024-03-18,16146.839,16103.4501953125
2024-03-19,16188.695,16166.7900390625
2024-03-20,16289.426,16369.41015625
2024-03-21,16389.832,16401.83984375
2024-03-22,16480.814,16428.8203125
2024-03-25,16414.969,16384.470703125
2024-03-26,16389.08,16315.7001953125
2024-03-27,16451.53,16399.51953125
2024-03-28,16399.664,16379.4599609375
2024-04-01,16413.105,16396.830078125
2024-04-02,16297.441,16240.4501953125
